adc_o,      xxxx  01100000xxxxxxxx
adc_x_o,    xxxx  01100001xxxxxxxx
adc_s_o,    xxxx  01100010xxxxxxxx
adci_k,     xxxx  01100011xxxxxxxx
add_o,      xxxx  01101000xxxxxxxx
add_x_o,    xxxx  01101001xxxxxxxx
add_s_o,    xxxx  01101010xxxxxxxx
addi_k,     xxxx  01101011xxxxxxxx
and_o,      xxxx  01000100xxxxxxxx
and_x_o,    xxxx  01000101xxxxxxxx
and_s_o,    xxxx  01000110xxxxxxxx
andi_k,     xxxx  01000111xxxxxxxx
asr,        xxxx  0111000100000001
cmp_o,      xxxx  00110000xxxxxxxx
cmp_x_o,    xxxx  00110001xxxxxxxx
cmp_s_o,    xxxx  00110010xxxxxxxx
cmpi_k,     xxxx  00110011xxxxxxxx
dec,        xxxx  0111101100000000
inc,        xxxx  0000000000000000
lsl,        xxxx  0101100000000000
lsr,        xxxx  0111000100000000
neg,        xxxx  0010011100000000
not,        xxxx  0010110100000000
or_o,       xxxx  01110100xxxxxxxx
or_x_o,     xxxx  01110101xxxxxxxx
or_s_o,     xxxx  01110110xxxxxxxx
ori_k,      xxxx  01110111xxxxxxxx
rlc,        xxxx  0101000000000000
rol,        xxxx  0101001000000000
ror,        xxxx  0111000100000010
rrc,        xxxx  0111000100000011
sbb_o,      xxxx  00011000xxxxxxxx
sbb_x_o,    xxxx  00011001xxxxxxxx
sbb_s_o,    xxxx  00011010xxxxxxxx
sbbi_k,     xxxx  00011011xxxxxxxx
sub_o,      xxxx  00010000xxxxxxxx
sub_x_o,    xxxx  00010001xxxxxxxx
sub_s_o,    xxxx  00010010xxxxxxxx
subi_k,     xxxx  00010011xxxxxxxx
tst_o,      xxxx  01001100xxxxxxxx
tst_x_o,    xxxx  01001101xxxxxxxx
tst_s_o,    xxxx  01001110xxxxxxxx
tsti_k,     xxxx  01001111xxxxxxxx
xor_o,      xxxx  00110100xxxxxxxx
xor_x_o,    xxxx  00110101xxxxxxxx
xor_s_o,    xxxx  00110110xxxxxxxx
xori_k,     xxxx  00110111xxxxxxxx
sti,        xxxx  0111111110000001
cli,        xxxx  0000011101101001
stu,        xxxx  0111111100100010
clu,        xxxx  0000011111001010
stc,        xxxx  0111111100001100
clc,        xxxx  0000011111100100
tax,        xxxx  0000011110000000
txa,        xxxx  0110011100000001
inx,        xxxx  0000010110000000
dex,        xxxx  0000110110000000
tas,        xxxx  0000011101010000
tsa,        xxxx  0110011100000000
ins,        xxxx  0000011001000000
des,        xxxx  0000111001000000
ldi_k,      xxxx  10001001xxxxxxxx
ldd_o,      xxxx  10000000xxxxxxxx
ld_x+o,     xxxx  10010111xxxxxxxx
ld_x++o,    xxxx  10010110xxxxxxxx
ld_x-+o,    xxxx  10011110xxxxxxxx
ld_+x+o,    xxxx  10000110xxxxxxxx
ld_-x+o,    xxxx  10001110xxxxxxxx
ld_s+o,     xxxx  10010011xxxxxxxx
ld_s++o,    xxxx  10010010xxxxxxxx
ld_s-+o,    xxxx  10011010xxxxxxxx
ld_+s+o,    xxxx  10000010xxxxxxxx
ld_-s+o,    xxxx  10001010xxxxxxxx
std_o,      xxxx  10100000xxxxxxxx
st_x+o,     xxxx  10110111xxxxxxxx
st_x++o,    xxxx  10110110xxxxxxxx
st_x-+o,    xxxx  10111110xxxxxxxx
st_+x+o,    xxxx  10100110xxxxxxxx
st_-x+o,    xxxx  10101110xxxxxxxx
st_s+o,     xxxx  10110011xxxxxxxx
st_s++o,    xxxx  10110010xxxxxxxx
st_s-+o,    xxxx  10111010xxxxxxxx
st_+s+o,    xxxx  10100010xxxxxxxx
st_-s+o,    xxxx  10101010xxxxxxxx
jmp_a,      xxxx  110xxxxxxxxxxxxx
ja_o,       xxxx  10001000xxxxxxxx
jae/jnc_o,  xxxx  10001100xxxxxxxx
jb/jc_o,    xxxx  10001111xxxxxxxx
jbe_o,      xxxx  10001011xxxxxxxx
je/jz_o,    xxxx  10011111xxxxxxxx
jg_o,       xxxx  10101111xxxxxxxx
jge_o,      xxxx  10111011xxxxxxxx
jl_o,       xxxx  10111000xxxxxxxx
jle_o,      xxxx  10101100xxxxxxxx
jne/jnz_o,  xxxx  10011100xxxxxxxx
jns_o,      xxxx  10011000xxxxxxxx
jnu_o,      xxxx  10111100xxxxxxxx
jnv_o,      xxxx  10101000xxxxxxxx
js_o,       xxxx  10011011xxxxxxxx
ju_o,       xxxx  10111111xxxxxxxx
jv_o,       xxxx  10101011xxxxxxxx
call_i_a,   0001  111xxxxxxxxxxxxx
call_3_a,   1000  111xxxxxxxxxxxxx
call_2_a,   0100  111xxxxxxxxxxxxx
call_1_a,   0010  111xxxxxxxxxxxxx
rts_i,      0001  0001111100000000
rts_2,      0100  0001111100000000
rts_1,      0010  0001111100000000
popf,       xxxx  0000001000000000
pushf,      xxxx  0000111000000000
in_p,       xxxx  10010000xxxxxxxx
out_p,      xxxx  10110000xxxxxxxx
nop,        xxxx  0001111110000000
